<<<<<<< HEAD
Name,Lastname,City
Nicholas,Johnson,New Hampshire
Mary,Nephew,New York
Michael,Benjamin,Texas
Anthony,White,Washington
Andrea,Santos,North Carolina
Thomas,Albert,Washington
Mike,Green,Dallas
Katy,McArthy,New Hampshire
James,Bond,New Yersey
Mike,Tyson,New York
Mike,Tyson,New York
Mike,Tyson,New York
Mike,Tyson,New York
Myle,Nichols,New York
=======
Firstname,Lastname,City
John,White,New York
Mike,Ross,Manhattan
Juan,Rike,Texas
Donald,Trump,Washington
>>>>>>> 54d2bb1f75ac0bd43a43a22af77f79a41362f2c4
